                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96058,                 4.8917,                 1.1363,                  7e-05,                0.00688,                0.00035,                0.00025,                0.84731,                  4.712,                 1.0087,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.95017,                 4.7832,                 1.1463,                  8e-05,                0.00693,                 0.0004,                0.00029,                0.84075,                  4.709,                 1.0049,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                0.99673,                 4.7365,                 1.1275,                  7e-05,                 0.0071,                0.00051,                0.00038,                0.83297,                 4.7066,                  1.002,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                0.97165,                 4.7632,                 1.1247,                  7e-05,                0.00726,                0.00064,                0.00051,                0.82149,                 4.7015,                0.99678,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.93396,                 4.6678,                 1.1099,                  7e-05,                0.00715,                0.00072,                0.00061,                0.80681,                 4.6931,                0.99165,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                0.94674,                 4.5185,                  1.112,                  8e-05,                0.00688,                0.00094,                0.00077,                0.79302,                 4.6806,                0.98097,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.90737,                 4.5431,                 1.0845,                  8e-05,                0.00643,                0.00134,                 0.0011,                0.78225,                 4.6725,                0.97405,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.91681,                 4.5197,                 1.0886,                  8e-05,                0.00704,                0.00191,                0.00158,                0.76873,                 4.6546,                0.96449,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                0.92173,                 4.5049,                 1.0864,                  8e-05,                0.00721,                0.00247,                0.00206,                0.76598,                 4.6353,                0.96098,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                0.90785,                 4.5019,                 1.0771,                  8e-05,                0.00671,                0.00276,                0.00224,                0.76963,                 4.6187,                0.95901,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.90234,                 4.3781,                 1.0648,                0.00149,                 0.0079,                0.00486,                0.00388,                0.77498,                 4.5866,                0.95597,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.89254,                 4.3423,                   1.06,                0.00089,                0.00965,                0.00444,                 0.0036,                0.77882,                 4.5505,                0.95404,             0.00010074,             0.00010074,             0.00010074
                     13,                0.87059,                 4.3037,                 1.0494,                0.00104,                0.01121,                0.00521,                0.00416,                0.78196,                 4.5103,                0.95038,             0.00010486,             0.00010486,             0.00010486
                     14,                0.86399,                 4.2824,                 1.0653,                0.02784,                0.00232,                0.00651,                0.00521,                0.78513,                 4.4539,                0.94688,             0.00010368,             0.00010368,             0.00010368
                     15,                0.87042,                  4.228,                  1.049,                0.02759,                 0.0039,                0.00762,                0.00613,                0.78467,                 4.3946,                0.94446,             0.00010251,             0.00010251,             0.00010251
                     16,                0.87836,                 4.2605,                 1.0574,                0.02734,                0.00442,                  0.008,                0.00647,                 0.7822,                  4.325,                0.94158,             0.00010133,             0.00010133,             0.00010133
                     17,                0.83621,                 4.1341,                 1.0364,                0.04122,                0.00491,                0.01678,                0.01526,                  0.778,                 4.2436,                0.93662,             0.00010015,             0.00010015,             0.00010015
                     18,                0.84438,                  4.051,                 1.0452,                0.03318,                0.02756,                0.02724,                0.02564,                 0.7743,                 4.1596,                0.93369,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 0.8299,                 3.9359,                 1.0222,                0.05934,                0.04203,                0.04629,                0.04277,                0.76847,                 4.0706,                0.93145,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.83551,                 3.9778,                 1.0352,                 0.1033,                0.05902,                0.07576,                 0.0686,                0.76547,                 3.9832,                0.92945,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.85078,                  3.837,                 1.0466,                0.09958,                0.07883,                0.08418,                0.07542,                0.76516,                 3.8939,                0.92753,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.87021,                 3.8218,                 1.0298,                 0.1007,                0.10812,                0.09977,                0.09073,                0.76583,                 3.8123,                0.92645,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.87158,                 3.7649,                 1.0362,                0.09116,                0.13548,                0.10573,                0.09557,                0.77154,                 3.7253,                0.92783,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.84762,                 3.6581,                 1.0378,                 0.0881,                0.17186,                0.11457,                0.10236,                  0.766,                  3.618,                0.92557,             9.1904e-05,             9.1904e-05,             9.1904e-05
